contbr_city,population
KANSAS CITY,459787
SAINT LOUIS,319294
SPRINGFIELD,159498
INDEPENDENCE,116830
COLUMBIA,108500
LEES SUMMIT,91364
O FALLON,79329
SAINT JOSEPH,76780
SAINT CHARLES,65794
BLUE SPRINGS,52575
SAINT PETERS,52575
FLORISSANT,52158
JOPLIN,50150
CHESTERFIELD,47484
JEFFERSON CITY,43079
CAPE GIRARDEAU,37941
WILDWOOD,35517
UNIVERSITY CITY,35371
BALLWIN,30404
RAYTOWN,29526
LIBERTY,29149
WENTZVILLE,29070
KIRKWOOD,27540
MARYLAND HEIGHTS,27472
HAZELWOOD,25703
GLADSTONE,25410
GRANDVIEW,24475
BELTON,23116
WEBSTER GROVES,22995
SEDALIA,21387
FERGUSON,21203
ARNOLD,20808
ROLLA,19559
RAYMORE,19206
NIXA,19022
WARRENSBURG,18838
MANCHESTER,18094
HANNIBAL,17916
CREVE COEUR,17833
OZARK,17820
KIRKSVILLE,17505
POPLAR BLUFF,17023
SIKESTON,16318
FARMINGTON,16240
OVERLAND,16062
CLAYTON,15939
REPUBLIC,14751
JENNINGS,14712
LAKE SAINT LOUIS,14545
LEBANON,14474
CARTHAGE,14378
WASHINGTON,13982
MOBERLY,13974
JACKSON,13758
MARSHALL,13065
SAINT ANN,13020
GRAIN VALLEY,12854
FULTON,12790
WEST PLAINS,11986
MARYVILLE,11972
CRESTWOOD,11912
NEOSHO,11835
FESTUS,11602
BRIDGETON,11550
MEXICO,11543
DARDENNE PRAIRIE,11494
EXCELSIOR SPRINGS,11084
WEBB CITY,10996
KENNETT,10932
BELLEFONTAINE,10860
TOWN AND COUNTRY,10815
TROY,10540
BRANSON,10520
BOLIVAR,10325
UNION,10204
EUREKA,10189
HARRISONVILLE,10019
CAMERON,9933
CHILLICOTHE,9515
ELLISVILLE,9133
CLINTON,9008
BERKELEY,8978
MONETT,8873
PARK HILLS,8759
RICHMOND HEIGHTS,8603
LADUE,8521
SUNSET HILLS,8496
SMITHVILLE,8425
NEVADA,8386
KEARNEY,8381
DES PERES,8373
BOONVILLE,8319
PERRYVILLE,8225
PLEASANT HILL,8113
BRENTWOOD,8055
MAPLEWOOD,8046
WARRENTON,7880
DEXTER,7864
OAK GROVE,7795
OLIVETTE,7737
AURORA,7508
CARL JUNCTION,7445
SULLIVAN,7081
PACIFIC,7002
VALLEY PARK,6942
BLACK JACK,6929
BONNE TERRE,6864
MARSHFIELD,6633
Saint John,6517
DE SOTO,6400
SHREWSBURY,6254
CARUTHERSVILLE,6168
TRENTON,6001
CHARLESTON,5947
GLENDALE,5925
RICHMOND,5797
BATTLEFIELD,5590
PARKVILLE,5554
PEVELY,5484
MACON,5471
WELDON SPRING,5443
BOWLING GREEN,5334
ODESSA,5300
WILLARD,5288
GREENWOOD,5221
SAVANNAH,5057
DESLOGE,5054
Dellwood,5025
NORMANDY,5008
SALEM,4950
CRYSTAL CITY,4855
WAYNESVILLE,4830
HIGGINSVILLE,4797
MOUNTAIN GROVE,4789
Breckenridge Hills,4746
LEXINGTON,4726
SAINT CLAIR,4724
PLATTE CITY,4691
ROCK HILL,4635
PECULIAR,4608
MOUNT VERNON,4575
ELDON,4567
SCOTT CITY,4565
BROOKFIELD,4542
LAMAR,4532
HOLLISTER,4426
SAINT GENEVIEVE,4410
OSAGE BEACH,4351
SAINT ROBERT,4340
CALIFORNIA,4278
MALDEN,4275
Northwoods,4227
BUTLER,4219
SAINT JAMES,4216
NORTH KANSAS CITY,4208
Woodson Terrace,4063
CENTRALIA,4027
FENTON,4022
FREDERICKTOWN,3985
VANDALIA,3899
CARROLLTON,3784
CAMDENTON,3718
ASHLAND,3707
PALMYRA,3595
EL DORADO SPRINGS,3593
FRONTENAC,3482
HERCULANEUM,3468
LOUISIANA,3364
CUBA,3356
SUGAR CREEK,3345
Pagedale,3304
BETHANY,3292
Pine Lawn,3275
CASSVILLE,3266
TIPTON,3262
HOLTS SUMMIT,3247
PORTAGEVILLE,3228
EAST PRAIRIE,3176
LICKING,3124
WRIGHT CITY,3119
NEW MADRID,3116
BUFFALO,3084
BUCKNER,3076
COTTLEVILLE,3075
ROGERSVILLE,3073
AVA,2993
PLEASANT VALLEY,2961
CHAFFEE,2955
HAYTI,2939
RIVERSIDE,2937
WINDSOR,2901
Riverview,2856
MONTGOMERY CITY,2834
HILLSBORO,2821
BYRNES MILL,2781
Bel-Ridge,2737
MOUNTAIN VIEW,2719
KNOB NOSTER,2709
FAYETTE,2688
OWENSVILLE,2676
POTOSI,2660
CLARKSON VALLEY,2632
Green Park,2622
MONROE CITY,2531
MOSCOW MILLS,2509
VERSAILLES,2482
LAWSON,2473
CONCORDIA,2450
COUNTRY CLUB,2449
Moline Acres,2442
HERMANN,2431
KIMBERLING CITY,2400
ORONOGO,2381
CANTON,2377
STRAFFORD,2358
Seneca,2336
PLATTSBURG,2319
Wellston,2313
FORSYTH,2255
HOLDEN,2252
THAYER,2243
MARCELINE,2233
MARIONVILLE,2225
Village of Four Seasons,2217
WILLOW SPRINGS,2184
Marlborough,2179
STEELE,2172
CABOOL,2146
CLEVER,2139
GRANBY,2134
WARSAW,2127
Hanley Hills,2101
NEW HAVEN,2089
LATHROP,2086
HOUSTON,2081
KAHOKA,2078
DONIPHAN,1997
CAMPBELL,1992
PIEDMONT,1977
Warson Woods,1962
ANDERSON,1961
MILAN,1960
BERNIE,1958
LAKE LOTAWANA,1939
Elsberry,1934
BLOOMFIELD,1933
SEYMOUR,1921
CARTERVILLE,1891
Vinita Park,1880
UNIONVILLE,1865
RICHLAND,1863
SLATER,1856
NOEL,1832
SAINT PAUL,1829
Memphis,1822
STOCKTON,1819
HAMILTON,1809
GALLATIN,1786
Senath,1767
Duquesne,1763
MERRIAM WOODS,1761
SPARTA,1756
ALBANY,1730
WEATHERBY LAKE,1723
SHELBINA,1704
ADRIAN,1677
GARDEN CITY,1642
STEELVILLE,1642
WESTON,1641
BOURBON,1632
SALISBURY,1618
LAKE OZARK,1586
TARKIO,1583
HUNTSVILLE,1564
DIXON,1549
Winchester,1547
BISMARCK,1546
Belle,1545
GOWER,1526
Wardsville,1506
Bel-Nor,1499
HALLSVILLE,1491
SWEET SPRINGS,1484
Hillsdale,1478
MARBLE HILL,1477
ASH GROVE,1472
CRANE,1462
IRONTON,1460
LINN,1459
Lakeshire,1432
CLAYCOMO,1430
Velda City,1420
WINFIELD,1404
RICH HILL,1396
FAIR GROVE,1393
OAKLAND,1381
GREENFIELD,1371
La Plata,1366
Charlack,1363
ADVANCE,1347
GERALD,1345
Saint George,1337
WINONA,1335
SARCOXIE,1330
ROCK PORT,1318
MANSFIELD,1296
ORAN,1294
Calverton Park,1293
PIERCE CITY,1292
Clarkton,1288
Leadwood,1282
Country Club Hills,1274
GOODMAN,1248
PARIS,1220
WELLSVILLE,1217
Cool Valley,1196
LILBOURN,1190
LINCOLN,1190
STANBERRY,1185
EDINA,1176
Archie,1170
PRINCETON,1166
MOUND CITY,1159
LA MONTE,1140
Saint Martins,1140
MARTHASVILLE,1136
LAKE WINNEBAGO,1131
APPLETON CITY,1127
COLE CAMP,1121
DUENWEG,1121
MAYSVILLE,1114
CROCKER,1110
GLASGOW,1103
PURDY,1098
STOVER,1094
Gideon,1093
