found_name,correct_name
AMERICAN AIRLINES INC.,AMERICAN AIRLINES
ANHEUSER BUSCH,ANHEUSER-BUSCH
ANHEUSER BUSCH CREDIT UNION,ANHEUSER-BUSCH
ANHEUSER BUSCH EMPLOYEES CREDIT UNION,ANHEUSER-BUSCH
ANHEUSER BUSCH LLC,ANHEUSER-BUSCH
ANHEUSER BUSH,ANHEUSER-BUSCH
ANHEUSER-BUSCH,ANHEUSER-BUSCH
ANHEUSER-BUSCH COMPANIES,ANHEUSER-BUSCH
ANHEUSER-BUSCH COS. INC,ANHEUSER-BUSCH
ANHEUSER-BUSCH INBEV,ANHEUSER-BUSCH
ANHEUSER-BUSCH INC.,ANHEUSER-BUSCH
ANHEUSER-BUSCH LLC,ANHEUSER-BUSCH
"ANHEUSER-BUSCH, INC",ANHEUSER-BUSCH
ANHEUSESR-BUSCH INBEV,ANHEUSER-BUSCH
AT &T,AT&T
AT&T ADVERTISING SOLUTIONS,AT&T
AT&T INC,AT&T
"AT&T SERVICES, INC.",AT&T
ATT,AT&T
BANK OF AMERICA HOME LOANS,BANK OF AMERICA
BARNES-JEWISH HOSP,BARNES-JEWISH HOSPITAL
BARNES-JEWISH WEST COUNTY HOSPITAL,BARNES-JEWISH HOSPITAL
BJC,BJC HEALTHCARE
BJC BEHAVIORAL HEALTH,BJC HEALTHCARE
BJC HEALTH CARE,BJC HEALTHCARE
BJC HEALTH SYSTEM,BJC HEALTHCARE
BJC MEDICAL GROUP,BJC HEALTHCARE
BJC/BARNES JEWISH HOSPITAL,BJC HEALTHCARE
BOEING - RETIRED,RETIRED
BOEING - ST. LOUIS,BOEING
BOEING (RETIRED),RETIRED
BOEING AEROSPACE,BOEING
BOEING AIRCRAFT,BOEING
BOEING CO.,BOEING
BOMMARITO A,BOMMARITO AUTOMOTIVE GROUP
BOMMARITO NISSAN HONDA,BOMMARITO AUTOMOTIVE GROUP
BOMMARITO NISSAN/FORD,BOMMARITO AUTOMOTIVE GROUP
BRIAN CAVE L.L.P.,BRYAN CAVE LLP
BRYAN CANE L.L.P.,BRYAN CAVE LLP
BRYAN CAVE,BRYAN CAVE LLP
BRYAN CAVE L.L.C.,BRYAN CAVE LLP
BRYAN CAVE L.L.P,BRYAN CAVE LLP
BRYAN CAVE L.L.P.,BRYAN CAVE LLP
BRYAN CAVE LLP,BRYAN CAVE LLP
BRYAN CAVE LLP /SELF-EMPLOYED,BRYAN CAVE LLP
"BRYAN CAVE, LLP",BRYAN CAVE LLP
BRYAN COVE,BRYAN CAVE LLP
BURNEL & MCDONNELL,BURNS & MCDONNELL
BURNS & MCDONNEL,BURNS & MCDONNELL
BURNS AND MCDONNELL,BURNS & MCDONNELL
BURNS C MCDONNELL,BURNS & MCDONNELL
BURNS C. MCDONNELL,BURNS & MCDONNELL
CARDINAL GLEENE HOSPITAL,CARDINAL GLENNON HOSPITAL
CARDINAL GLENNON,CARDINAL GLENNON HOSPITAL
CARDINAL GLENNON CHILDREN'S HOSPITAL,CARDINAL GLENNON HOSPITAL
CARDINAL GLENNON CHILDREN'S MED CTR,CARDINAL GLENNON HOSPITAL
CARDINAL GLENNON CHILDREN'S MEDICAL CE,CARDINAL GLENNON HOSPITAL
CARDINAL HEALTH,CARDINAL GLENNON HOSPITAL
CC I,CCI
CERNER,CERNER CORPORATION
CERNER CORP,CERNER CORPORATION
CERNER CORP.,CERNER CORPORATION
CHARTER COMMUNICATIONS INC.,CHARTER COMMUNICATIONS
CHILDREN'S MERCY FAMILY,CHILDREN'S MERCY HOSPITAL
CHILDRENS MERCY HOSPITAL,CHILDREN'S MERCY HOSPITAL
CHILDREN'S MERCY HOSPITALS & CLINICS,CHILDREN'S MERCY HOSPITAL
CHILDREN'S MERCY HOSPITALS AND CLINICS,CHILDREN'S MERCY HOSPITAL
CHILDRENS'S MERCY HOSPITAL,CHILDREN'S MERCY HOSPITAL
CISCO,CISCO SYSTEMS
CITY OF KANSAS CITY,"CITY OF KANSAS CITY, MISSOURI"
CITY OF KANSAS CITY MISSOURI,"CITY OF KANSAS CITY, MISSOURI"
"CITY OF KANSAS CITY, MO","CITY OF KANSAS CITY, MISSOURI"
CITY OF KCMA,"CITY OF KANSAS CITY, MISSOURI"
CITY OF KCMO,"CITY OF KANSAS CITY, MISSOURI"
CITY OF KCMO/KANSAS CITY POWER & LIGHT,"CITY OF KANSAS CITY, MISSOURI"
CITY OF KS,"CITY OF KANSAS CITY, MISSOURI"
CITY OF LIBERTY,"CITY OF LIBERTY, MISSOURI"
CITY OF ST. LOUIS FAMILY COURT,CITY OF ST. LOUIS
COLDWELL BANKER ALL AMERICAN REALTY,COLDWELL BANKER
COLDWELL BANKER COMMERCIAL GP,COLDWELL BANKER
COLDWELL BANKER GUNDAKER,COLDWELL BANKER
CONTINENTAL DATA GRAPHICS,CONTINENTAL DATAGRAPHICS
"CONTROL SERVICE COMPANY, INC","CONTROL SERVICE COMPANY, INC."
COOPERATIN SCHOOL DISTRICTS,COOPERATING SCHOOL DISTRICTS
COOPERATING SCHOOL DISTRICTS OF GREATE,COOPERATING SCHOOL DISTRICTS
COVENTARY HEALTH CARE KS,COVENTRY HEALTH CARE
COVENTRY,COVENTRY HEALTH CARE
COVENTRY HEALTHCARE,COVENTRY HEALTH CARE
COVIDIEN INC.,COVIDIEN
COX HEALTH SYSTEM,COX HEALTH
COX HEALTH SYSTEMS,COX HEALTH
COX HFALK,COX HEALTH
COXHEALTH,COX HEALTH
DELOITTE CONSULTING,DELOITTE
DELTA AIR LINES,DELTA AIRLINES
DEPARTMENT OF DEFENCE,STATE OF MISSOURI
DEPARTMENT OF DEFENSE,STATE OF MISSOURI
DEPARTMENT OF HOMELAND SECURITY,STATE OF MISSOURI
DEPARTMENT OF HOMELAND SECURITY USCIS,STATE OF MISSOURI
DEPARTMENT OF INTERIOR,STATE OF MISSOURI
DEPARTMENT OF JUSTICE,STATE OF MISSOURI
DEPARTMENT OF MENTAL HEALTH,STATE OF MISSOURI
DEPARTMENT OF THE ARMY,STATE OF MISSOURI
DEPARTMENT OF VETERAN'S AFFAIRS,STATE OF MISSOURI
DEPARTMENT-TREASURY,STATE OF MISSOURI
"DEPT OF DEFENSE/FT LEONARD WOOD, MO",STATE OF MISSOURI
DEPT OF HOMELAND SECURITY,STATE OF MISSOURI
DEPT OF SOCIAL SERVICES,STATE OF MISSOURI
"DEPT OF TREASURY, CHIEF COUNSEL IRS",STATE OF MISSOURI
DEPT OF VA,STATE OF MISSOURI
DEPT OF VETERANS AFF,STATE OF MISSOURI
DEPT OF VETERANS AFFAIRS,STATE OF MISSOURI
DEPT OF VETERAN'S AFFAIRS,STATE OF MISSOURI
DEPT. OF DEFENSE,STATE OF MISSOURI
DEPT. OF HOMELAND SECURITY,STATE OF MISSOURI
DEPT. OF THE ARMY,STATE OF MISSOURI
DEPT. OF UAF,STATE OF MISSOURI
DEPT. OF VETERAN AFFAIRS,STATE OF MISSOURI
DEPT. OF VETERANS AFFAIRS,STATE OF MISSOURI
DOWD & DOWD,"DOWD & DOWD, P.C."
DOWD & DOWD P.C.,"DOWD & DOWD, P.C."
DOWD & DOWD PC,"DOWD & DOWD, P.C."
"DOWD & DOWD, PC","DOWD & DOWD, P.C."
DOWD AND DOWD PC,"DOWD & DOWD, P.C."
EDWARD D. JONES & CO.,EDWARD JONES
EDWARD D. JONES & COMPANY,EDWARD JONES
EDWARD JONES INVESTMENTS,EDWARD JONES
"EL DORADO ARCHITECTS, INC.",EL DORADO INC. ARCHITECTS
EMERSON ELECTRIC,EMERSON
EMERSON ELECTRIC CO.,EMERSON
EMERSON ELECTRIC COMPANY,EMERSON
ENTERPRISE HOLDINGS FOUNDATION,ENTERPRISE HOLDINGS
ENTERPRISE HOLDINGS INC,ENTERPRISE HOLDINGS
ENTERPRISE HOLDINGS INC.,ENTERPRISE HOLDINGS
"ENTERPRISE HOLDINGS, INC",ENTERPRISE HOLDINGS
"ENTERPRISE HOLDINGS, INC.",ENTERPRISE HOLDINGS
ENTERPRISES HOLDINGS,ENTERPRISE HOLDINGS
ENTERPRISES HOLDINGS INC.,ENTERPRISE HOLDINGS
ERNST & YOUNG,ERNST &YOUNG
ERNST & YOUNG LLP,ERNST &YOUNG
ERNST AND YOUNG,ERNST &YOUNG
ERNST AND YOUNG LLP,ERNST &YOUNG
ESSE HEALTH,ESSEHEALTH
ESSEHEALTH D/B/A AMGI,ESSEHEALTH
ESTE HEALTH,ESSEHEALTH
EXPRESS SCRIPTS,EXPRESS-SCRIPTS
EXPRESS SCRIPTS INC.,EXPRESS-SCRIPTS
"EXPRESS SCRIPTS, INC.",EXPRESS-SCRIPTS
EXPRESS-SCRIPTS INC.,EXPRESS-SCRIPTS
"EXPRESS-SCRIPTS, INC.",EXPRESS-SCRIPTS
FAA,FEDERAL AVIATION ADMINISTRATION
FAA/DOT,FEDERAL AVIATION ADMINISTRATION
FED AVIATIO ADMIN,FEDERAL AVIATION ADMINISTRATION
FED EX,FEDEX
FEDERAL GOVERNMENT DOJ,FEDERAL GOVERNMENT
FEDERAL PUBLIC DEFENDER,FEDERAL PUBLIC DEFENDERS
FEDERAL RESERVE,FEDERAL RESERVE BANK
FEDERAL RESERVE BANK,FEDERAL RESERVE BANK
FEDERAL RESERVE BANK OF ST. LOUIS,FEDERAL RESERVE BANK
FEDERAL RESERVE BANK OF STL,FEDERAL RESERVE BANK
FEDEX OFFICE,FEDEX
FORD,FORD MOTOR COMPANY
FORD MOTOR,FORD MOTOR COMPANY
FORD MOTOR CO,FORD MOTOR COMPANY
FORD MOTOR CO.,FORD MOTOR COMPANY
FORD MOTOR/RETIRED,RETIRED
GE,GENERAL ELECTRIC
GENERAL ELECTRIC INC.,GENERAL ELECTRIC
GENERAL MOTORS COMPANY,GENERAL MOTORS
GM,GENERAL MOTORS
GM FAIRFAX PLANT,GENERAL MOTORS
"GM RANCHES, LLC",GENERAL MOTORS
GM WENTZVILLE,GENERAL MOTORS
GRAYBAR,GRAYBAR ELECTRIC
GRAYBAR E,GRAYBAR ELECTRIC
GRAYBAR ELECTRIC CO. INC.,GRAYBAR ELECTRIC
GRAYBAR ELECTRIC COMPANY INC.,GRAYBAR ELECTRIC
GREENSFELDER,"GREENSFELDER, HEMKER AND GALE"
GREENSFELDER HEMKER & GALE,"GREENSFELDER, HEMKER AND GALE"
GREENSFELDER HEMKER & GALE P.C.,"GREENSFELDER, HEMKER AND GALE"
GREENSFELDER HEMKER & GALE PC,"GREENSFELDER, HEMKER AND GALE"
"GREENSFELDER, HEMKER & GALE","GREENSFELDER, HEMKER AND GALE"
"GREENSFELDER, HEMKER & GALE, PC","GREENSFELDER, HEMKER AND GALE"
"GREENSFELDER, HEMKER AND GALE, P.C.","GREENSFELDER, HEMKER AND GALE"
"GREENSFELDER, HEMKER AND GALE, PC","GREENSFELDER, HEMKER AND GALE"
GREENSFELDER. HEMKER & GALE,"GREENSFELDER, HEMKER AND GALE"
GREENSFELDERKOMALLEY,"GREENSFELDER, HEMKER AND GALE"
GSL DEVELOPMENTAL CENTER,GSL DEVELOPMENTAL CENTER
GSL DEVELOPMENTAL CENTER  INC,GSL DEVELOPMENTAL CENTER
"GSL DEVELOPMENTAL CENTER, INC",GSL DEVELOPMENTAL CENTER
"GSL DEVELOPMENTAL CENTER, INC.",GSL DEVELOPMENTAL CENTER
GUARANTEE ELECTRIC,GUARANTEE ELECTRICAL CO.
GUARANTEE ELECTRICAL,GUARANTEE ELECTRICAL CO.
GUARANTEE ELECTRICAL COMPANY,GUARANTEE ELECTRICAL CO.
GUNTER PEST MANAGEMENT INC,GUNTER PEST MANAGEMENT INC.
HALLMARK,HALLMARK CARDS
HALLMARK CARDS INC,HALLMARK CARDS
"HALLMARK CARDS, INC",HALLMARK CARDS
"HALLMARK CARDS, INC.",HALLMARK CARDS
"HALLMARK CARDS, INCORPORATED",HALLMARK CARDS
HEARTLAND TECHNOLOGY PARTNERS  LLC,"HEARTLAND TECHNOLOGY PARTNERS,LLC"
HEWLETT PACKARD,HP
HEWLETT-PACKARD,HP
HOME,HOME DEPOT
HOME-DEPOT,HOME DEPOT
HOMEMAKER  VOLUNTEER,HOMEMAKER
HOMEMAKER -- VOLUNTEER,HOMEMAKER
HOMEMAKER/LAWYER,HOMEMAKER
HONEYWELL FM&T,HONEYWELL
HONEYWELL INTERNATIONAL,HONEYWELL
HUSCH BECHWELL L.L.P.,HUSCH BLACKWELL LLP
HUSCH BLACKWELL,HUSCH BLACKWELL LLP
HUSCH BLACKWELL L.L.P.,HUSCH BLACKWELL LLP
HUSCH BLACKWELL LLC,HUSCH BLACKWELL LLP
HUSCH BLACKWELL LLC.,HUSCH BLACKWELL LLP
HUSCH BLACKWELL SANDERS,HUSCH BLACKWELL LLP
HUSCH BLACKWELL SANDERS LLP,HUSCH BLACKWELL LLP
IBM CORPORATION,IBM
IBM GLOBAL TECHNOLOGY SERVICES,IBM
IBM- RETIRED,RETIRED
INFORMATION REQUESTED (BEST EFFORTS),INFORMATION REQUESTED PER BEST EFFORTS
INTERNAL REVENUE SERVICE,IRS
KONE,KONE CORPORATION
KONE ELEVATORS,KONE CORPORATION
"KONE, INC",KONE CORPORATION
LATHROP & GAGE,LATHROP & GAGE LLP
LATHROP & GAGE L.L.P.,LATHROP & GAGE LLP
MAGELLAN,MAGELLAN HEALTH SERVICES
MAGELLAN HEALTH,MAGELLAN HEALTH SERVICES
MARITZ,MARITZ INC.
MARITZ HOLDINGS INC.,MARITZ INC.
MARITZ INC,MARITZ INC.
MARITZ TRAVEL,MARITZ INC.
MARITZ TRAVEL CO,MARITZ INC.
MARITZ TRAVEL CO..,MARITZ INC.
